Textbox2,Textbox7,,,
Viet Nam,� World Health Organization 2020,,,
,,,,
Year,Week,AH1N1,AH3,B
2009,1,,6,5
2009,2,,2,10
2009,3,,3,
2009,4,,3,
2009,5,,6,4
2009,6,,2,6
2009,7,,1,2
2009,8,,2,2
2009,9,,5,5
2009,10,,6,9
2009,11,,8,15
2009,12,,11,16
2009,13,,15,19
2009,14,,21,13
2009,15,,20,15
2009,16,,30,7
2009,17,,19,13
2009,18,,59,16
2009,19,,61,20
2009,20,,74,12
2009,21,,70,13
2009,22,,62,6
2009,23,,46,16
2009,24,,42,9
2009,25,,32,10
2009,26,,23,16
2009,27,1,29,21
2009,28,1,13,7
2009,29,3,10,14
2009,30,4,3,12
2009,31,9,6,5
2009,32,17,4,11
2009,33,24,7,17
2009,34,27,2,5
2009,35,11,,6
2009,36,38,1,4
2009,37,75,1,3
2009,38,82,,3
2009,39,54,,2
2009,40,68,1,1
2009,41,37,,1
2009,42,41,2,5
2009,43,39,1,4
2009,44,30,1,8
2009,45,26,1,2
2009,46,27,1,2
2009,47,24,,4
2009,48,15,,4
2009,49,12,,4
2009,50,10,,13
2009,51,4,,8
2009,52,6,,14
2009,53,,,
2010,1,3,,10
2010,2,7,,2
2010,3,2,1,8
2010,4,5,,5
2010,5,4,,7
2010,6,2,,
2010,7,,,
2010,8,7,,4
2010,9,3,,6
2010,10,2,,7
2010,11,2,,13
2010,12,,,18
2010,13,,,3
2010,14,,,3
2010,15,1,,4
2010,16,,,2
2010,17,,,1
2010,18,,,2
2010,19,,,4
2010,20,,,4
2010,21,,,4
2010,22,,,6
2010,23,,2,2
2010,24,,3,13
2010,25,1,4,15
2010,26,,3,12
2010,27,,8,13
2010,28,1,13,8
2010,29,4,10,13
2010,30,,26,11
2010,31,,30,10
2010,32,1,51,6
2010,33,,53,3
2010,34,1,52,3
2010,35,,31,5
2010,36,,25,11
2010,37,3,19,11
2010,38,1,18,7
2010,39,4,8,18
2010,40,2,3,17
2010,41,2,2,12
2010,42,1,4,16
2010,43,3,1,17
2010,44,1,,17
2010,45,,1,19
2010,46,1,3,24
2010,47,1,1,36
2010,48,4,1,15
2010,49,5,,20
2010,50,4,1,7
2010,51,8,2,6
2010,52,6,1,9
2011,1,6,0,9
2011,2,25,0,9
2011,3,23,0,12
2011,4,27,2,5
2011,5,0,0,0
2011,6,5,0,1
2011,7,28,2,1
2011,8,38,4,2
2011,9,39,0,6
2011,10,60,0,7
2011,11,50,0,7
2011,12,25,0,6
2011,13,32,0,7
2011,14,10,0,5
2011,15,8,1,7
2011,16,6,1,2
2011,17,22,0,3
2011,18,12,0,2
2011,19,6,0,1
2011,20,16,0,2
2011,21,14,0,6
2011,22,11,0,3
2011,23,15,0,3
2011,24,6,0,4
2011,25,5,0,0
2011,26,4,0,8
2011,27,12,0,2
2011,28,15,0,1
2011,29,26,0,1
2011,30,20,0,1
2011,31,18,0,2
2011,32,28,0,1
2011,33,23,1,6
2011,34,19,1,3
2011,35,31,0,2
2011,36,21,0,1
2011,37,16,1,4
2011,38,23,1,2
2011,39,28,0,9
2011,40,20,5,7
2011,41,19,1,5
2011,42,14,1,4
2011,43,25,0,2
2011,44,11,1,4
2011,45,13,2,7
2011,46,4,3,1
2011,47,5,2,4
2011,48,6,3,3
2011,49,0,1,3
2011,50,1,2,3
2011,51,2,0,5
2011,52,0,1,3
2012,1,2,1,1
2012,2,0,2,3
2012,3,1,2,0
2012,4,0,0,0
2012,5,0,1,7
2012,6,0,0,20
2012,7,0,0,22
2012,8,2,0,18
2012,9,0,4,15
2012,10,0,2,20
2012,11,0,4,16
2012,12,1,0,12
2012,13,0,0,12
2012,14,0,0,11
2012,15,1,1,10
2012,16,1,3,16
2012,17,0,8,10
2012,18,0,3,7
2012,19,0,9,8
2012,20,0,13,5
2012,21,1,10,4
2012,22,0,19,4
2012,23,0,26,7
2012,24,0,22,6
2012,25,0,24,3
2012,26,0,31,6
2012,27,0,19,1
2012,28,0,16,5
