weeks,year,temp_num_max_max,temp_num_max_min,temp_num_max_mean,temp_num_min_max,temp_num_min_min,temp_num_min_mean,temp_num_mean_max,temp_num_mean_min,temp_num_mean_mean,feels_num_max_max,feels_num_max_min,feels_num_max_mean,feels_num_min_max,feels_num_min_min,feels_num_min_mean,feels_num_mean_max,feels_num_mean_min,feels_num_mean_mean,gust_num_max_max,gust_num_max_min,gust_num_max_mean,gust_num_min_max,gust_num_min_min,gust_num_min_mean,gust_num_mean_max,gust_num_mean_min,gust_num_mean_mean,rain_num_max_max,rain_num_max_min,rain_num_max_mean,rain_num_min_max,rain_num_min_min,rain_num_min_mean,rain_num_mean_max,rain_num_mean_min,rain_num_mean_mean,humid_num_max_max,humid_num_max_min,humid_num_max_mean,humid_num_min_max,humid_num_min_min,humid_num_min_mean,humid_num_mean_max,humid_num_mean_min,humid_num_mean_mean,cloud_num_max_max,cloud_num_max_min,cloud_num_max_mean,cloud_num_min_max,cloud_num_min_min,cloud_num_min_mean,cloud_num_mean_max,cloud_num_mean_min,cloud_num_mean_mean,illum_max,illum_min,illum_mean,Ah1n1,Ah3,B,Label_AH1N1,Label_AH3,Label_B
1,2009,31,24,28.57142857,23,20,21.42857143,25.625,22.375,24.32142857,38,27,33.57142857,25,21,22.85714286,29.5,24.25,27.23214286,22,12,16.57142857,10,1,3.285714286,14.375,6.375,8.875,3.1,0,0.685714286,0,0,0,0.65,0,0.157142857,98,88,92,82,58,67.14285714,89.5,76.625,82.41071429,100,36,71.42857143,47,7,21.42857143,73.625,27.5,45.64285714,41,0,20.71428571,,6,5,normal,normal,normal
2,2009,29,27,28.28571429,21,18,19.28571429,24.375,21.375,22.875,36,29,31.57142857,22,18,20,27.75,22.25,24.67857143,28,14,21.14285714,10,3,6.571428571,16.125,7.5,12.76785714,0,0,0,0,0,0,0,0,0,87,75,78.28571429,57,46,52.85714286,73.75,63.625,67.26785714,63,12,37.14285714,20,0,7.285714286,32.125,5.125,18.14285714,41,0,20.71428571,,2,10,normal,normal,normal
3,2009,32,29,30.85714286,21,18,19.57142857,25.625,23,24.46428571,42,31,37.71428571,23,19,21.14285714,30.25,25,28.07142857,21,12,15.85714286,6,1,2.857142857,11.125,7.5,8.517857143,0,0,0,0,0,0,0,0,0,94,78,84.28571429,48,39,43.57142857,68,64,66.05357143,48,7,21.42857143,8,0,2,18.125,1.75,9.035714286,90,48,69,,3,,normal,normal,normal
4,2009,33,28,31.14285714,24,21,22.28571429,27,25.5,26.125,39,31,34.71428571,26,23,24.85714286,30.375,27.875,29,23,11,16,8,1,3.142857143,10,6.25,8,0,0,0,0,0,0,0,0,0,88,78,82.28571429,63,35,47.71428571,74.375,60.5,66.44642857,94,11,66,32,2,14.71428571,60.875,5.75,33.32142857,97,62,82,,3,,normal,normal,normal
5,2009,34,32,32.85714286,22,20,21,27,25.875,26.375,39,35,36.57142857,25,23,23.42857143,30.125,28.125,29.42857143,22,15,19,4,1,2.285714286,10.375,7,8.928571429,0,0,0,0,0,0,0,0,0,89,75,84,42,32,36,65.125,58,61.66071429,44,5,19.85714286,10,0,4,23.875,2.625,10.33928571,55,7,30.57142857,,6,4,normal,normal,normal
6,2009,35,27,32.42857143,24,21,22.42857143,27.25,24.75,26.5,38,30,35.28571429,27,23,24.57142857,30.125,27.5,29.10714286,24,12,17.71428571,3,2,2.285714286,9.5,5.375,7.910714286,1.9,0,0.471428571,0,0,0,0.3375,0,0.0875,90,73,83.57142857,73,29,42.57142857,85.125,56.125,64.89285714,100,32,57,38,2,14.57142857,65.375,11.875,31.07142857,34,0,14.85714286,,2,6,normal,normal,normal
7,2009,35,27,32.57142857,25,22,23.57142857,28.625,25.25,27.19642857,39,32,36.85714286,28,26,27,32.25,29,30.875,23,12,16,8,3,4.571428571,11.75,7,9.303571429,2.4,0,0.814285714,0,0,0,0.35,0,0.117857143,92,78,87.85714286,76,38,49.14285714,84.75,64.625,72.05357143,92,71,78.28571429,48,6,20,70,28.375,43.35714286,83,41,62,,1,2,normal,normal,normal
8,2009,37,34,35.71428571,25,24,24.85714286,29.625,28.625,29.21428571,40,37,39,29,28,28.42857143,33,32.125,32.51785714,27,17,20.28571429,10,3,6,15.25,10,12.625,0.4,0,0.057142857,0,0,0,0.05,0,0.007142857,86,72,76.71428571,40,32,34.85714286,61.25,56.125,58.44642857,46,15,30,16,3,7.857142857,26.375,9,16.82142857,97,69,86,,2,2,normal,normal,normal
9,2009,35,28,32.71428571,27,23,24.57142857,29.75,25.125,27.89285714,38,31,35.85714286,30,26,27.57142857,32.75,28,30.96428571,25,14,19.85714286,9,1,5.571428571,15.25,7.5,12.10714286,3.1,0,0.614285714,0,0,0,0.75,0,0.135714286,93,64,79.14285714,67,38,46.42857143,81.875,55,65.23214286,94,26,53.42857143,44,9,22.71428571,64.125,15.625,36.96428571,62,14,37.42857143,,5,5,normal,normal,normal
10,2009,36,31,32.71428571,26,24,24.71428571,29.125,27.125,27.85714286,41,36,38.28571429,29,27,28.42857143,33.375,31.625,32.42857143,20,10,17.14285714,10,2,5.857142857,13.25,5.875,10.66071429,6.9,0,3,0,0,0,0.8625,0,0.4125,94,72,88.42857143,68,34,53.71428571,82.625,59.25,73.66071429,100,41,65.85714286,27,0,14.85714286,57.625,11.375,35.53571429,28,0,11,,6,9,normal,normal,warning
